"","Name","Width","Height","Unmasked_Pixels","MeanGcc"
"136","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_141_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.35803806166019
"137","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_142_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.361720697274599
"138","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_143_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.366698590875956
"139","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_144_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.366027008213843
"140","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_145_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.376798538043302
"141","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_146_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.377588315649988
"142","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_147_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.381809501515281
"143","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_148_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.35555166449951
"144","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_149_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.395996450792517
"145","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_150_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.397951422338097
"146","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_151_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.412767993363699
"147","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_152_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.42499069097302
"148","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_153_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.427474645553194
"149","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_154_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.445983442793483
"150","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_155_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.441196030254371
"151","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_156_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.459577645298236
"152","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_157_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.457020250930679
"153","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_158_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.468451194172458
"154","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_159_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.459882368078089
"155","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_160_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.452467951367014
"156","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_161_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.46426011253581
"157","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_162_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.464020369381263
"158","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_163_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.450950457947886
"159","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_164_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.476850021110148
"160","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_165_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.477395237215346
"161","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_166_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.459182672009406
"162","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_167_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.419731235408826
"163","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_168_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.455049484008263
"164","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_169_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.454870127643876
"165","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_170_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.464953305586082
"166","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_171_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.447502528160747
"167","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_172_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.442904882844165
"168","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_173_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.434792322781494
