"","Name","Width","Height","Unmasked_Pixels","MeanRcc"
"122","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_127_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.358995026196422
"123","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_128_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.357924541296726
"124","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_129_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.342924523182309
"125","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_130_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.353170553430057
"126","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_131_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.321003761211185
"127","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_132_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.358824908550112
"128","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_133_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.338670309365611
"129","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_134_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.348560354577694
"130","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_135_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.357516632600043
"131","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_136_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.348225852865927
"132","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_137_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.365124615568583
"133","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_138_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.352072695737346
"134","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_139_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.34057311813643
"135","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_140_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.346910423799213
"136","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_141_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.359728723770816
"137","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_142_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.36127375208815
"138","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_143_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.346672959992408
